success,task_completion,mission_time,outage_rate,mean_packet,worst_agent_packet,cvar_outage_90,comm_fairness,usv_collision_rate,auv_collision_count,colregs_violation_rate,energy,smoothness,shield_interventions,policy,scenario,seed,num_auvs
0.0,1.0,232.0,0.1810344827586207,0.865919985149396,0.7630887794752513,0.6666666666666666,0.9562238427558677,0.0,92.0,0.0,4300.12,2295.1118721108637,0.0,fixed_auv_ga_pso_tlbo_proxy,survey,1000,3
0.0,1.0,177.0,0.3389830508474576,0.7626155329876811,0.4655668832784445,0.6666666666666665,0.782154080408189,0.0,70.0,0.0,4351.545,1782.6000000000006,0.0,independent_greedy,survey,1000,3
0.0,1.0,292.0,0.3481735159817351,0.823650189110595,0.7373407945992039,0.6666666666666669,0.8703547982973893,0.0,132.0,0.0,8021.163574056058,3448.914476387672,0.0,communication_aware,survey,1000,3
0.0,1.0,203.0,0.054187192118226604,0.8981864246882245,0.8204164031022777,0.33333333333333326,0.9934781435738449,0.0,16.0,0.0,5379.674409713067,1245.9890638051033,275.0,haco_safemarl_pilot_no_acoustic,survey,1000,3
0.0,1.0,172.0,0.3313953488372092,0.813974457915488,0.574981283986805,0.6666666666666665,0.7504397660746309,0.0,67.0,0.0,5390.598517713668,1187.5587005146988,0.0,haco_safemarl_pilot_no_shield,survey,1000,3
0.0,1.0,203.0,0.04433497536945813,0.899131278277272,0.8230851215001571,0.33333333333333326,0.9957140588242986,0.0,16.0,0.0,5388.170666171443,1250.198223330896,274.0,haco_safemarl_pilot,survey,1000,3
0.0,1.0,272.0,0.3370098039215686,0.7388809060074714,0.3774548595264806,0.6666666666666669,0.7437304810675038,0.0,311.0,0.0,5041.5199999999995,2864.272522377318,0.0,fixed_auv_ga_pso_tlbo_proxy,survey,7001,3
0.0,1.0,208.0,0.35416666666666663,0.706069276288298,0.39306622456380624,0.6666666666666665,0.7583287806580457,0.0,237.0,0.0,5113.68,2335.0000000000005,0.0,independent_greedy,survey,7001,3
0.0,0.6666666666666666,300.0,0.3999999999999999,0.8181365521448923,0.6536988212871173,0.6666666666666669,0.7219144099043578,0.0,333.0,0.0,8170.451864676322,3708.3578606580527,0.0,communication_aware,survey,7001,3
1.0,1.0,267.0,0.3333333333333333,0.7647933356800856,0.5265891414201771,0.7654320987654321,0.790742558451405,0.0,0.0,0.0,6192.35444479456,2067.530106877369,682.0,haco_safemarl_pilot_no_acoustic,survey,7001,3
0.0,1.0,208.0,0.2916666666666666,0.7875210538827226,0.563980451616935,0.6666666666666665,0.8718649028110088,0.0,163.0,0.0,6454.580959051587,1546.6225351827982,0.0,haco_safemarl_pilot_no_shield,survey,7001,3
0.0,0.6666666666666666,300.0,0.37666666666666665,0.7913483162527294,0.7327875501977807,1.0,0.8831968073471691,0.0,0.0,0.0,6859.956573457025,2184.459540689546,793.0,haco_safemarl_pilot,survey,7001,3
0.0,0.6666666666666666,300.0,0.0,0.9632974966255289,0.9511130987149676,0.0,0.9999999998888889,0.0,72.0,0.0,5560.5,2788.1386324166365,0.0,fixed_auv_ga_pso_tlbo_proxy,survey,13002,3
0.0,1.0,237.0,0.090014064697609,0.910273443312835,0.8131708432464955,0.3333333333333333,0.9808060429682898,0.0,55.0,0.0,5826.645,2432.0000000000014,0.0,independent_greedy,survey,13002,3
0.0,1.0,269.0,0.0024783147459727386,0.961029378820367,0.9454775191509011,0.024691358024691357,0.9999876548380097,0.0,63.0,0.0,7632.875,3161.7742659568207,0.0,communication_aware,survey,13002,3
1.0,1.0,254.0,0.0,0.9415736906650748,0.8853138327880906,0.0,0.9999999998888889,0.0,0.0,0.0,5812.328608043486,1724.2123023559047,210.0,haco_safemarl_pilot_no_acoustic,survey,13002,3
0.0,1.0,231.0,0.11976911976911975,0.9262258567802508,0.84058345268286,0.3333333333333333,0.9642944141633996,0.0,55.0,0.0,7224.815656443583,1688.827631631928,0.0,haco_safemarl_pilot_no_shield,survey,13002,3
1.0,1.0,254.0,0.0,0.9416601852928088,0.8855657059064835,0.0,0.9999999998888889,0.0,0.0,0.0,5912.785506091807,1793.645953646396,212.0,haco_safemarl_pilot,survey,13002,3
1.0,1.0,275.0,0.10787878787878787,0.861897108389099,0.8121678894704902,0.3452380952380953,0.9725067771251038,0.0,0.0,0.10909090909090909,5097.125,2520.191923121593,0.0,fixed_auv_ga_pso_tlbo_proxy,traffic,19000,3
1.0,1.0,210.0,0.4444444444444445,0.7171578687529175,0.5747893941625697,0.6666666666666665,0.7429916176427701,0.0,0.0,0.06666666666666667,5162.85,1837.2000000000005,0.0,independent_greedy,traffic,19000,3
1.0,1.0,271.0,0.20910209102091012,0.850065380158575,0.8202153398507458,0.6666666666666669,0.9623306401727185,0.0,0.0,0.13284132841328414,7567.913162573633,3007.350395517414,0.0,communication_aware,traffic,19000,3
1.0,1.0,200.0,0.12999999999999998,0.8823893838510247,0.8417212977201574,0.33333333333333326,0.9804192481480078,0.0,0.0,0.06,6563.501613622328,1533.281832927212,138.0,haco_safemarl_pilot_no_acoustic,traffic,19000,3
